Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper
1.0,1442.0780343048984,3750.317445816174,-5908.409090087048,8792.565158696845,337.73753897774645,877.1053067396052,-1381.3572728808365,2056.832350836329
1.5,2874.7199535749687,7848.557366060439,-12508.169814500041,18257.609721649977,675.6193775068251,1831.8885000546459,-2914.816106293382,4266.054861307032
2.0,6718.32291628146,16246.567688094014,-25124.364624774975,38561.01045733789,1572.8185626846566,3815.310515089682,-5905.052636728084,9050.689762097396
2.5,13392.171072780431,20492.01138913209,-26771.433220703067,53555.77536626393,3140.025545771096,4788.172618690929,-6244.620338623963,12524.671430166154
3.0,23762.892855224214,32638.371138550716,-40207.13909038675,87732.92480083517,5571.817155182401,7703.966628630188,-9527.679975031231,20671.31428539603
3.5,40846.135782532736,53515.16927123786,-64041.668615658076,145733.94018072356,9524.560069937337,12560.828721490398,-15094.211840160135,34143.33198003481
4.0,54714.15100521697,70342.06899983612,-83153.77083249326,192582.07284292718,12603.916300428486,16099.577112660607,-18950.675006711655,44158.50760756862
4.5,77671.0579276532,80609.28532998558,-80320.23813863145,235662.35399393784,17747.717970715126,18328.83185950266,-18176.132352600394,53671.56829403064
5.0,103010.43820577124,91974.0094144745,-77255.30776034665,283276.1841718891,23472.43514526418,20904.86326218815,-17500.343950359107,64445.214240887464
5.5,124034.78388506883,110361.04096515132,-92268.88170297728,340338.4494731149,28208.646005427025,25181.92085601717,-21147.011933904676,77564.30394475872
6.0,143642.98853828385,102461.51673100232,-57177.89405582889,344463.8711323966,32404.942028167756,22971.76335202423,-12618.886803176847,77428.77085951235
6.5,160243.70414882887,115390.38192718456,-65917.2885907744,386404.69688843214,35918.88521916562,25817.34173582141,-14682.174759607151,86519.94519793839
7.0,196612.7221727475,124851.26525571964,-48091.26115271996,441316.705498215,44031.14166707467,28108.677545848685,-11060.853975838465,99123.1373099878
7.5,205248.73458137494,125104.71224185926,-39951.99570891642,450449.4648716663,45588.20149057849,27602.979301867595,-8512.643807086562,99689.04678824355
8.0,231601.831113641,141882.99254886148,-46483.724300892354,509687.3865281744,51413.578367308124,31464.121651971553,-10254.966875743026,113082.12361035927
8.5,248114.86771818524,140366.7903522696,-26998.985997747513,523228.721434118,55013.50345397021,31151.634378065453,-6042.577986597884,116069.5848945383
9.0,276953.6540025071,149304.09946149192,-15677.003686203156,569584.3116912174,61082.553432215085,32721.59767221416,-3050.5995219343386,125215.7063863645
9.5,272573.0948726734,144755.57422938556,-11142.617178336717,556288.8069236835,59916.893391383004,31669.333820483927,-2153.8603111417688,121987.64709390778
10.0,304577.07976965205,156106.87692867222,-1386.7767495721928,610540.9362888762,66638.42015757025,34102.92393501637,-202.0825225708104,133478.9228377113
10.5,326569.5585121101,161674.634545727,9693.097588809964,643446.0194354102,71155.29783515615,35073.15037963731,2413.186266709701,139897.4094036026
11.0,346437.77277807903,172211.41509208916,8909.601470906753,683965.9440852513,75373.96845215303,37157.5515605799,2546.5056397263397,148201.4312645797
11.5,360320.7069330676,168984.70598108356,29116.769272053556,691524.6445940817,78012.68278842329,36465.82220802741,6540.984594048685,149484.38098279788
12.0,365151.4016881584,168910.630699474,34092.64891124377,696210.154465073,78726.83338631182,36321.04269933334,7538.89781467701,149914.76895794662
12.5,370884.32918016636,166207.36296234,45123.88380860345,696644.7745517292,79783.74757308557,35628.059570622965,9954.03397561697,149613.46117055416
13.0,383515.6553485968,167802.1866972697,54629.41289488203,712401.8978023116,81944.48379114672,35665.28929241367,12041.801279813895,151847.16630247954
13.5,404793.8479612523,179061.77398296472,53839.219946790196,755748.4759757144,86569.32276980941,38076.99055655353,11939.792639292747,161198.85290032608
