Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,5416.691123682564,9858.152767229436,2361.6740672684277,8471.708180096699,7980.542258335241,3562.0191189454727,6696.366994738278,1486.831620031967,5637.206617858978,5303.571367413576,0.06253470880759891,0.005609186659197348,0.06079643579427915,0.06427298182091869,0.06399351350663622
2.0,3967.786183806426,7966.04591536151,1499.1283410808724,6436.444026531979,6039.549154115405,2588.189613940056,5301.93455112286,945.1332657451239,4231.245962134987,3967.085968634192,0.06432630806766869,0.003857001514215179,0.06313103287861781,0.06552158325671956,0.06532941462749499
3.0,3541.3212219544184,6612.216107898651,1492.211873854525,5590.430570054312,5260.987996358556,2363.8489195960233,4363.336783923124,1011.6616881223663,3716.0361510696803,3498.6402165538893,0.06714768540755398,0.005682537513681706,0.06538668114662186,0.0689086896684861,0.06862556677094593
4.0,6967.46737421795,12800.504477988916,3000.6228309930375,10934.311917442863,10296.548258327844,4535.562050269926,8407.419006755972,1930.1237828247745,7141.000317715077,6722.114771549145,0.06453110892086944,0.004679966172603922,0.0630807990283028,0.0659814188134361,0.06574824735086547
5.0,4734.2167754160755,7031.612607436642,2555.1374938263975,6913.296057005754,6562.957756377882,3127.4236623538545,4730.4329756370635,1661.4742328790862,4593.373091828623,4357.687205469351,0.06603347188288088,0.005693424593921567,0.06426909374282427,0.06779785002293746,0.06751418469489055
6.0,7755.5668814413575,14312.283433704344,3320.225794868945,12190.90796801377,11477.822458871038,4664.086682545904,8412.167871695277,2057.1767536515194,7270.996611440289,6851.874461046332,0.06308478260564074,0.004999308371637829,0.06153550935879087,0.0646340558524906,0.06438497370064082
7.0,7749.191325525342,10409.018447834855,4523.462362958052,10974.920288092631,10456.30840802946,4787.378633617896,6172.5882748027525,2874.508859025832,6700.248408209961,6392.709553697006,0.06555858705868374,0.006628377730227572,0.06350446926396712,0.06761270485340036,0.0672824570539878
8.0,6447.494562343315,11294.021515438899,2947.5053473383823,9947.483777348247,9384.778104287016,4009.3731689947317,6850.4571374826355,1886.4335175811993,6132.312820408264,5791.000287130831,0.06519336372359408,0.006567001408849896,0.06315826629842297,0.06722846114876518,0.06690127132158898
9.0,8321.765916784194,11779.579954067594,4671.30334770145,11972.228485866939,11385.33067826394,5165.8351378208845,7484.870882879342,2846.292242496047,7485.378033145721,7112.456899414079,0.06191238886271331,0.00480512793407584,0.06042329165114927,0.06340148607427736,0.06316207863693599
10.0,16975.03255537981,21586.714012814467,10285.363500918975,23664.701609840646,22589.179802027884,10360.890602124726,13084.8107138593,6305.940262576976,14415.840941672475,13763.912201360094,0.06312107679041674,0.005692638378464121,0.061356942296577566,0.06488521128425592,0.06460158512807505
11.0,13414.096624991706,19791.52240280924,7280.752991488902,19547.44025849451,18561.360860703808,8686.13069592615,12631.329576679393,4771.713034412365,12600.548357439933,11971.213553943466,0.06423998214123815,0.00660571174352767,0.062192888479500975,0.06628707580297533,0.06595795729832142
12.0,11486.009907983731,15101.775046529692,6806.0073315736845,16166.012484393776,15413.591880239599,7224.7074891122875,9520.848848631094,4274.220079260209,10175.194898964366,9700.834579023449,0.06385540739585237,0.0046589030209568906,0.06241162492166347,0.06529918987004125,0.06506706784366201
13.0,16047.038828660938,22144.917126545006,9184.384015746538,22909.69364157534,21806.360300166038,10228.707293586529,13575.3607857265,6021.736705218813,14435.677881954245,13759.30830734888,0.06516088799124237,0.006313445794151469,0.06320436682127277,0.06711740916121198,0.06680285231712617
14.0,18560.351982783144,21399.474508986565,11928.707985484161,25191.99598008213,24125.80306639987,11801.194365477895,13110.25198845001,7738.359838126737,15864.028892829054,15210.832583695192,0.06443921017490455,0.0050520989817367445,0.06287357724910887,0.06600484310070023,0.0657531307452736
