Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases"
0.25,327.00978920988877,863.2083963686317,251.3476275466818,402.67195087309574,390.50747693088033,77.19709492321871,204.18010031733039,59.30024889668594,95.09394094975148,92.21660157228739
0.375,720.362813742544,1816.2447769935252,561.1648651186129,879.560762366475,853.9659438320784,170.72172502965424,437.1596032059781,132.40370042569882,209.03974963360966,202.87922498607438
0.5,1507.5453459426049,2869.8515085435265,1255.996392407994,1759.0942994772156,1718.6518825121273,355.1712936357238,677.5623755771388,295.78142415172607,414.5611631197216,405.01284327412327
0.625,3469.7823036744808,7035.657580120897,2853.0910579990355,4086.473549349926,3987.325911699768,812.2299888234015,1637.7848315410436,668.6744566773871,955.785520969416,932.7055891823197
0.75,6223.502305826714,8451.761296755169,5482.686377408848,6964.318234244581,6845.214631345544,1447.537389389968,1948.9598033027664,1276.7066695627104,1618.3681092172255,1590.9030488199476
0.875,11306.467281750824,14453.54137328935,10039.581801266391,12573.352762235256,12369.671092608598,2623.3535042915637,3357.293316582287,2329.0791775604152,2917.627831022712,2870.316304353434
1.0,13415.696603616749,15332.613277788412,12071.758489224216,14759.634718009282,14543.565023288571,3088.0288868462967,3526.515714952495,2778.9218354609566,3397.135938231637,3347.4397018398013
1.125,19822.7675269306,19015.07246611965,18156.053564205497,21489.4814896557,21221.517977604002,4553.885339753203,4376.484815506234,4170.276580824968,4937.494098681438,4875.819958669955
1.25,26937.64612435321,23608.647519339724,24868.294954030345,29006.997294676075,28674.300371467147,6129.773315003156,5354.97641240282,5660.397562030457,6599.149067975855,6523.685864300025
1.375,29899.305664470914,23734.451778825667,27818.92746723405,31979.683861707777,31645.214084292642,6781.64974090343,5432.213481990392,6305.503984684572,7257.795497122288,7181.243856025872
1.5,33889.2374386663,24618.799424092016,31731.344176951257,36047.13070038134,35700.19855127015,7641.041165474086,5549.44930785356,7154.61942486201,8127.462906086161,8049.259158551942
1.625,43121.669777373136,31330.86957838926,40375.448437240804,45867.89111750547,45426.37137768761,9684.376240389298,6992.621774891805,9071.45718004737,10297.295300731226,10198.754130689
1.75,47533.69143115576,31686.12602647705,44756.33106258002,50311.051799731504,49864.525727927365,10661.634581920945,7110.059581721873,10038.421833098773,11284.847330743118,11184.651207914258
1.875,53678.9917420531,32673.42728241652,50815.09219296031,56542.89129114589,56082.452008520915,11951.65022200139,7271.98465243928,11314.244375742392,12589.056068260388,12486.578070844094
2.0,57661.534525507304,33731.58964204917,54704.88466043374,60618.18439058087,60142.83331086896,12786.232185751513,7479.788463335635,12130.611867065678,13441.852504437347,13336.446101721272
2.125,63276.50688995728,36765.12056143138,60053.96120204627,66499.0525778683,65980.95248415587,13960.95624013176,8073.290306277048,13253.314147124735,14668.598333138785,14554.828205355287
2.25,66970.92483298274,35715.36288441658,63840.3927716764,70101.45689428908,69598.15015750112,14770.313941191278,7928.920139790377,14075.326218695489,15465.301663687067,15353.566023908606
2.375,74851.28721387126,37568.709513565416,71558.30514296985,78144.26928477266,77614.84488407988,16374.87907246233,8157.165389939192,15659.885139313044,17089.87300561162,16974.92089642722
2.5,77521.66719849152,40194.92625480404,73998.4913105766,81044.84308640643,80478.40960974799,16933.092703650647,8790.456017832956,16162.589419492882,17703.59598780841,17579.719443489612
2.625,84401.86262544802,42011.36851442674,80719.47147911158,88084.25377178445,87492.2226936341,18359.74736191751,9163.326863466938,17556.56110766754,19162.93361616748,19033.802514890463
2.75,87382.72445211005,43030.82196014174,83610.97591334986,91154.47299087024,90548.07560798066,18947.05405733073,9338.83371220187,18128.484232186587,19765.623882474873,19634.019509972626
2.875,85957.79540934287,38765.43537804889,82559.9176189304,89355.67319975534,88809.38434239634,18597.687102541706,8354.789190736929,17865.370997797057,19330.003207286354,19212.26615116993
3.0,91349.36404706204,40334.02470514098,87813.99586643916,94884.73222768493,94316.33855290788,19756.60676851433,8728.8093905944,18991.50695018908,20521.706586839584,20398.698776877194
3.125,96081.36190711164,43372.01795437447,92279.7067703815,99883.01704384178,99271.81147118192,20668.78849922965,9282.14215651441,19855.18781672755,21482.38918173175,21351.58371590697
3.25,97591.6287400411,42780.77275924183,93841.79757736508,101341.4599027171,100738.58625407456,20955.868700209743,9156.504772584476,20153.280417603008,21758.45698281648,21629.422019560272
3.375,104521.22549469092,45570.20455814978,100526.89434730052,108515.55664208133,107873.3738641785,22393.30513856335,9710.039912225335,21542.198253266975,23244.412023859728,23107.57655285755
