Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0078986953966527,0.9760018573008573,1.039795533492448,2000
2,1.0335856840402753,0.9996026597931288,1.067568708287422,2000
3,1.0513026988666492,1.017595310550811,1.0850100871824873,2000
4,1.0497236627039028,1.015151056823591,1.0842962685842146,2000
5,1.04668305362999,1.011939662826766,1.081426444433214,2000
6,1.0809415825172368,1.0455532419261562,1.1163299231083175,2000
7,1.0257458231573853,0.9907013827064973,1.060790263608273,2000
8,1.0238974903355826,0.9904013277312587,1.0573936529399066,2000
9,1.0206689235082858,0.9868001881225311,1.0545376588940405,2000
10,1.053780267296901,1.0195606749025947,1.0879998596912073,2000
11,1.0312747032705676,0.9975070499523582,1.065042356588777,2000
12,1.0419524518856926,1.0074553709963792,1.076449532775006,2000
13,1.0197595432820998,0.9871267954118466,1.052392291152353,2000
14,1.0379754691086764,1.0048733630432347,1.0710775751741182,2000
